
dev	test	method
V   V       exibirMenu()
V   V       cadastrarUsuario()
V   V       cadastrarLivro()
V   V       cadastrarPeriodico()
x   x       cadastrarEmprestimo()
x   x       inserirItem() 
V   V       excluirUsuario()
V   V       excluirLivro() 
V   V       excluirPeriodico() 
x   x       excluirEmprestimo()
x   x       excluirItem()
x   x       devolverTodoEmprestimo()
x   x       devolverLivro()
V   x       pesquisarPublicacao()
V   x       pesquisarLivroAutor()
V   V       listarPublicacoes()
V   V       listarEmprestimos()
V   V       carregarArquivo()
V   V       salvarArquivo()
